round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
91,4.890651,0.001183,0.001183,0.001183,0.001183,0.091055,0.230684,0.000609,0.991334,0.001183,0.000179
92,4.540752,0.001128,0.001128,0.001128,0.001128,0.091049,0.23017,0.000599,0.991321,0.001128,0.000178
93,4.288212,0.001053,0.001053,0.001053,0.001053,0.091079,0.226454,0.000578,0.991742,0.001053,0.00016
94,4.106706,0.000965,0.000965,0.000965,0.000965,0.091109,0.22231,0.000551,0.992209,0.000965,0.000129
95,3.965868,0.000881,0.000881,0.000881,0.000881,0.091079,0.21819,0.000524,0.992019,0.000881,0.000105
96,3.847795,0.000794,0.000794,0.000794,0.000794,0.091093,0.214054,0.000496,0.992305,0.000794,7.6e-05
97,3.747602,0.000725,0.000725,0.000725,0.000725,0.091065,0.210599,0.000475,0.992107,0.000725,6e-05
98,3.653753,0.000657,0.000657,0.000657,0.000657,0.091037,0.207006,0.000451,0.991929,0.000657,5.1e-05
99,3.575733,0.000599,0.000599,0.000599,0.000599,0.091002,0.203974,0.000426,0.991678,0.000599,4.2e-05
100,3.501044,0.000544,0.000544,0.000544,0.000544,0.091109,0.201029,0.0004,0.992983,0.000544,3.5e-05
101,3.428349,0.00049,0.00049,0.00049,0.00049,0.091096,0.198097,0.000374,0.992983,0.00049,3e-05
102,3.35971,0.000448,0.000448,0.000448,0.000448,0.091086,0.195774,0.000353,0.992982,0.000448,2.9e-05
103,3.285498,0.0004,0.0004,0.0004,0.0004,0.091072,0.193125,0.000325,0.992982,0.0004,2.5e-05
104,3.214254,0.000361,0.000361,0.000361,0.000361,0.09106,0.19094,0.000301,0.992982,0.000361,2.3e-05
