round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
61,16.502026,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
62,16.698807,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
63,16.765795,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
64,16.809495,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
65,16.67495,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
66,16.364417,0.001603,0.001603,0.001603,0.001603,0.000178,0.111109,0.000356,3e-06,0.001603,5e-06
67,16.028737,0.001673,0.001673,0.001673,0.001673,0.006545,0.155334,0.011487,1.3e-05,0.001673,2.3e-05
68,15.55836,0.001731,0.001731,0.001731,0.001731,0.005547,0.20679,0.010508,1e-05,0.001731,2e-05
69,15.116219,0.001713,0.001713,0.001713,0.001713,0.002904,0.206711,0.005645,6e-06,0.001713,1.3e-05
70,14.657512,0.001695,0.001695,0.001695,0.001695,0.002029,0.205521,0.003972,5e-06,0.001695,1e-05
71,14.17178,0.001681,0.001681,0.001681,0.001681,0.001365,0.204603,0.002681,4e-06,0.001681,8e-06
72,13.718086,0.00167,0.00167,0.00167,0.00167,0.001103,0.203834,0.002169,4e-06,0.00167,7e-06
73,13.214282,0.001659,0.001659,0.001659,0.001659,0.000915,0.203034,0.001804,4e-06,0.001659,7e-06
74,12.67859,0.001645,0.001645,0.001645,0.001645,0.000798,0.202779,0.001578,3e-06,0.001645,7e-06
75,12.170287,0.001652,0.001652,0.001652,0.001652,0.016672,0.216579,0.001582,0.141885,0.001652,7e-06
76,11.703953,0.001646,0.001646,0.001646,0.001646,0.009983,0.221183,0.001435,0.082767,0.001646,7e-06
77,11.17716,0.001636,0.001636,0.001636,0.001636,0.043698,0.22559,0.001366,0.384456,0.001636,7e-06
78,10.70182,0.001625,0.001625,0.001625,0.001625,0.05114,0.225604,0.001264,0.451444,0.001625,7e-06
79,10.199408,0.001642,0.001642,0.001642,0.001642,0.06486,0.251632,0.001508,0.572986,0.001642,9e-06
80,9.713707,0.001634,0.001634,0.001634,0.001634,0.075675,0.253401,0.001345,0.670393,0.001634,1.1e-05
81,9.20855,0.001635,0.001635,0.001635,0.001635,0.083496,0.263473,0.001308,0.740366,0.001635,1.5e-05
82,8.735573,0.001625,0.001625,0.001625,0.001625,0.090636,0.263627,0.001185,0.804766,0.001625,2.1e-05
83,8.281012,0.001611,0.001611,0.001611,0.001611,0.094053,0.262573,0.001057,0.835937,0.001611,2.7e-05
84,7.843424,0.001597,0.001597,0.001597,0.001597,0.099151,0.261047,0.000967,0.881928,0.001597,4.3e-05
85,7.396515,0.001579,0.001579,0.001579,0.001579,0.101759,0.26132,0.000903,0.90554,0.001579,6.6e-05
86,6.993367,0.001565,0.001565,0.001565,0.001565,0.102502,0.269367,0.000861,0.912388,0.001565,8e-05
87,6.577685,0.001553,0.001553,0.001553,0.001553,0.105094,0.273163,0.000825,0.935754,0.001553,0.000135
88,6.158723,0.001552,0.001552,0.001552,0.001552,0.10672,0.277325,0.000816,0.950371,0.001552,0.00022
89,5.779013,0.001585,0.001585,0.001585,0.001585,0.108197,0.30025,0.001651,0.959827,0.001585,0.000344
90,5.401699,0.001674,0.001674,0.001674,0.001674,0.110079,0.3641,0.003798,0.967003,0.001674,0.000534
