round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,0.306192,0.972752,0.972752,0.972752,0.972752,0.166371,0.166496,0.165061,0.990466,0.972752,0.981516
32,0.211794,0.844851,0.844851,0.844851,0.844851,0.29931,0.23869,0.252464,0.991579,0.844851,0.912251
33,0.200848,0.436647,0.436647,0.436647,0.436647,0.202029,0.450375,0.160414,0.991209,0.436647,0.6049
34,0.741273,0.026452,0.026452,0.026452,0.026452,0.184447,0.503341,0.040359,0.993174,0.026452,0.046578
35,1.890805,0.002722,0.002722,0.002722,0.002722,0.183145,0.500002,0.03027,0.993634,0.002722,0.000202
36,2.342938,0.002707,0.002707,0.002707,0.002707,0.016765,0.5,0.030744,9.6e-05,0.002707,0.000175
37,2.64608,0.002707,0.002707,0.002707,0.002707,0.017601,0.5,0.032131,0.0001,0.002707,0.000183
38,3.104092,0.002707,0.002707,0.002707,0.002707,0.017908,0.5,0.032644,0.000102,0.002707,0.000186
39,3.702365,0.002707,0.002707,0.002707,0.002707,0.019186,0.5,0.034746,0.000109,0.002707,0.000198
40,4.325361,0.002707,0.002707,0.002707,0.002707,0.020221,0.5,0.036468,0.000115,0.002707,0.000206
41,5.041931,0.002707,0.002707,0.002707,0.002707,0.022019,0.5,0.039376,0.000124,0.002707,0.000222
