round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.033278,0.998773,0.998773,0.998773,0.998773,0.666258,0.577485,0.614985,0.998481,0.998773,0.998555
2,0.038427,0.998403,0.998403,0.998403,0.998403,0.666134,0.541933,0.589679,0.998112,0.998403,0.998108
3,0.034539,0.998617,0.998617,0.998617,0.998617,0.666205,0.562476,0.604691,0.998325,0.998617,0.99837
4,0.029992,0.998743,0.998743,0.998743,0.998743,0.666248,0.574628,0.613067,0.998451,0.998743,0.99852
5,0.026974,0.998875,0.998875,0.998875,0.998875,0.666291,0.587251,0.621402,0.998582,0.998875,0.998672
6,0.025548,0.998875,0.998875,0.998875,0.998875,0.666291,0.587251,0.621402,0.998582,0.998875,0.998672
7,0.024053,0.999,0.999,0.999,0.999,0.666333,0.59933,0.629049,0.998708,0.999,0.998814
8,0.021907,0.999083,0.999083,0.999083,0.999083,0.666205,0.607325,0.63388,0.998789,0.999083,0.998906
9,0.022265,0.999083,0.999083,0.999083,0.999083,0.66613,0.607362,0.633872,0.998788,0.999083,0.998906
10,0.024738,0.99905,0.99905,0.99905,0.99905,0.666312,0.603853,0.63182,0.998754,0.99905,0.998868
11,0.023483,0.999065,0.999065,0.999065,0.999065,0.666278,0.605378,0.632733,0.998769,0.999065,0.998885
12,0.027591,0.999011,0.999011,0.999011,0.999011,0.666336,0.600133,0.629546,0.998716,0.999011,0.998825
13,0.027467,0.998992,0.998992,0.998992,0.998992,0.66633,0.598307,0.628413,0.998697,0.998992,0.998804
14,0.028848,0.998877,0.998877,0.998877,0.998877,0.666291,0.587252,0.621402,0.998582,0.998877,0.998674
15,0.027154,0.998987,0.998987,0.998987,0.998987,0.666328,0.597753,0.628068,0.998691,0.998987,0.998797
16,0.030237,0.998987,0.998987,0.998987,0.998987,0.666328,0.597753,0.628068,0.998691,0.998987,0.998797
17,0.031581,0.998987,0.998987,0.998987,0.998987,0.666328,0.597753,0.628068,0.998691,0.998987,0.998797
18,0.032288,0.998987,0.998987,0.998987,0.998987,0.666328,0.597753,0.628068,0.998691,0.998987,0.998797
19,0.030861,0.998992,0.998992,0.998992,0.998992,0.66633,0.598233,0.628367,0.998696,0.998992,0.998803
20,0.04826,0.998546,0.998546,0.998546,0.998546,0.666181,0.555432,0.599668,0.998252,0.998546,0.998283
21,0.044707,0.99862,0.99862,0.99862,0.99862,0.666205,0.562477,0.604691,0.998325,0.99862,0.998372
22,0.04277,0.998729,0.998729,0.998729,0.998729,0.666242,0.572984,0.611955,0.998434,0.998729,0.998501
23,0.0407,0.99898,0.99898,0.99898,0.99898,0.666326,0.597071,0.627642,0.998684,0.99898,0.998789
24,0.039431,0.998987,0.998987,0.998987,0.998987,0.666328,0.597753,0.628068,0.998691,0.998987,0.998797
25,0.045151,0.998764,0.998764,0.998764,0.998764,0.666254,0.576326,0.614209,0.998469,0.998764,0.998542
26,0.045387,0.998867,0.998867,0.998867,0.998867,0.666288,0.586242,0.620748,0.998572,0.998867,0.998662
27,0.065028,0.998102,0.998102,0.998102,0.998102,0.666033,0.512682,0.566232,0.997809,0.998102,0.997714
28,0.058608,0.998717,0.998717,0.998717,0.998717,0.666238,0.57179,0.611142,0.998422,0.998717,0.998487
29,0.051496,0.99888,0.99888,0.99888,0.99888,0.666268,0.587503,0.621555,0.998584,0.99888,0.998676
30,0.053005,0.998987,0.998987,0.998987,0.998987,0.666328,0.597753,0.628068,0.998691,0.998987,0.998797
