round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
92,5.079456,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
93,4.719242,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
94,4.467843,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
95,4.279425,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
96,4.147072,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
97,4.04085,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
98,3.938117,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
99,3.851861,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
100,3.773155,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
101,3.687936,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
102,3.617943,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
103,3.545117,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
104,3.479324,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
105,3.405692,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
106,3.34859,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
107,3.25434,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
108,3.197368,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
109,3.100827,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
