round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,0.306313,0.99239,0.99239,0.99239,0.99239,0.333036,0.18453,0.198283,0.993938,0.99239,0.99191
32,0.212119,0.957708,0.957708,0.957708,0.957708,0.168732,0.164649,0.163769,0.990446,0.957708,0.973778
33,0.202662,0.789837,0.789837,0.789837,0.789837,0.200728,0.280283,0.199329,0.99109,0.789837,0.878789
34,0.728364,0.207135,0.207135,0.207135,0.207135,0.171475,0.513406,0.066754,0.992452,0.207135,0.339345
35,1.882919,0.005688,0.005688,0.005688,0.005688,0.170329,0.500318,0.00826,0.993509,0.005688,0.005982
36,2.353353,0.002709,0.002709,0.002709,0.002709,0.17106,0.499853,0.008683,0.993558,0.002709,4.3e-05
37,2.659242,0.002706,0.002706,0.002706,0.002706,0.00627,0.49986,0.012299,2.8e-05,0.002706,5.5e-05
38,3.12575,0.002706,0.002706,0.002706,0.002706,0.009246,0.49986,0.018021,3.3e-05,0.002706,6.5e-05
39,3.674879,0.002706,0.002706,0.002706,0.002706,0.010302,0.49987,0.020018,3.6e-05,0.002706,7.1e-05
40,4.267465,0.002706,0.002706,0.002706,0.002706,0.012915,0.49988,0.024903,4.3e-05,0.002706,8.2e-05
41,5.008035,0.002704,0.002704,0.002704,0.002704,0.019854,0.499512,0.037516,6.3e-05,0.002704,0.000119
42,5.78795,0.002667,0.002667,0.002667,0.002667,0.037145,0.493161,0.066622,0.000107,0.002667,0.000195
43,6.405349,0.002667,0.002667,0.002667,0.002667,0.048681,0.493161,0.084848,0.000156,0.002667,0.000273
44,7.086172,0.002667,0.002667,0.002667,0.002667,0.055615,0.493161,0.09518,0.000186,0.002667,0.000317
45,7.779498,0.002628,0.002628,0.002628,0.002628,0.056286,0.480801,0.095597,0.000191,0.002628,0.000323
46,8.407395,0.002599,0.002599,0.002599,0.002599,0.055265,0.470381,0.093646,0.000188,0.002599,0.000318
47,9.01149,0.002597,0.002597,0.002597,0.002597,0.055151,0.468147,0.093377,0.000189,0.002597,0.000319
48,9.776456,0.002577,0.002577,0.002577,0.002577,0.052164,0.442758,0.087893,0.00019,0.002577,0.000319
49,10.289887,0.002577,0.002577,0.002577,0.002577,0.053108,0.442758,0.089227,0.000193,0.002577,0.000323
50,10.871138,0.002577,0.002577,0.002577,0.002577,0.058395,0.442758,0.096571,0.000207,0.002577,0.000343
51,11.529461,0.002456,0.002456,0.002456,0.002456,0.074496,0.42087,0.115429,0.000247,0.002456,0.000385
52,12.176039,0.001718,0.001718,0.001718,0.001718,0.047133,0.283899,0.067323,5.3e-05,0.001718,7.4e-05
53,12.630666,0.001686,0.001686,0.001686,0.001686,0.051828,0.266771,0.068598,4.5e-05,0.001686,6.1e-05
54,13.340693,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
55,13.909056,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
56,14.434749,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
57,14.959139,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
58,15.430317,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
59,15.946239,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
60,16.323365,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
