true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed,speed-accessory,standstill
Benign,0.000015,0.000000,0.000000,0.000000,0.205299,0.000000,0.000000,0.000000,0.000000,0.485098,0.309588
DoS,0.000000,0.000000,0.000000,0.000000,0.413363,0.000000,0.000000,0.000000,0.000000,0.397446,0.189190
double,0.000000,0.000000,0.000000,0.000000,0.145573,0.000000,0.000000,0.000000,0.000000,0.722227,0.132200
force-neutral,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.922528,0.077472
fuzzing,0.000000,0.000000,0.000000,0.000000,0.211301,0.000000,0.000000,0.000000,0.000000,0.387531,0.401168
interval,0.000000,0.000000,0.000000,0.000000,0.000691,0.000000,0.000000,0.000000,0.000000,0.990380,0.008929
rpm,0.000000,0.000000,0.000000,0.000000,0.033314,0.000000,0.000000,0.000000,0.000000,0.389252,0.577434
rpm-accessory,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961856,0.038144
speed,0.000000,0.000000,0.000000,0.000000,0.059564,0.000000,0.000000,0.000000,0.000000,0.811404,0.129032
speed-accessory,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
standstill,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
