round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
61,16.444443,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
62,16.587891,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
63,16.647782,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
64,16.619983,0.001603,0.001603,0.001603,0.001603,0.000178,0.111111,0.000356,3e-06,0.001603,5e-06
65,16.536057,0.001603,0.001603,0.001603,0.001603,0.000178,0.111109,0.000356,3e-06,0.001603,5e-06
66,16.300005,0.001603,0.001603,0.001603,0.001603,0.000178,0.1111,0.000356,3e-06,0.001603,5e-06
67,15.939619,0.001601,0.001601,0.001601,0.001601,0.000178,0.110958,0.000355,3e-06,0.001601,5e-06
68,15.523514,0.001651,0.001651,0.001651,0.001651,0.004162,0.146888,0.00754,9e-06,0.001651,1.7e-05
69,15.038739,0.001681,0.001681,0.001681,0.001681,0.002505,0.176087,0.004851,6e-06,0.001681,1.2e-05
70,14.524634,0.001701,0.001701,0.001701,0.001701,0.002333,0.205957,0.004563,6e-06,0.001701,1.1e-05
71,14.030505,0.001689,0.001689,0.001689,0.001689,0.001557,0.206401,0.00307,4e-06,0.001689,9e-06
72,13.452498,0.001675,0.001675,0.001675,0.001675,0.001065,0.205534,0.002109,4e-06,0.001675,7e-06
73,12.95258,0.001662,0.001662,0.001662,0.001662,0.021685,0.204638,0.001689,0.186223,0.001662,7e-06
74,12.451684,0.00165,0.00165,0.00165,0.00165,0.033993,0.203785,0.001313,0.297954,0.00165,7e-06
75,11.90127,0.001635,0.001635,0.001635,0.001635,0.071389,0.202687,0.001107,0.633148,0.001635,9e-06
76,11.366119,0.001639,0.001639,0.001639,0.001639,0.104992,0.201528,0.001,0.934018,0.001639,4.9e-05
77,10.869836,0.001692,0.001692,0.001692,0.001692,0.10884,0.220407,0.001059,0.968191,0.001692,0.000135
78,10.388707,0.001729,0.001729,0.001729,0.001729,0.109735,0.222326,0.001012,0.976452,0.001729,0.000237
79,9.908178,0.001783,0.001783,0.001783,0.001783,0.110046,0.229948,0.001033,0.979202,0.001783,0.00036
80,9.388357,0.002005,0.002005,0.002005,0.002005,0.110655,0.246317,0.001122,0.984472,0.002005,0.000809
81,8.905518,0.00227,0.00227,0.00227,0.00227,0.110945,0.257199,0.001177,0.987095,0.00227,0.001359
82,8.46502,0.00254,0.00254,0.00254,0.00254,0.111064,0.25976,0.001169,0.988477,0.00254,0.00193
83,8.020906,0.002999,0.002999,0.002999,0.002999,0.111161,0.260621,0.001197,0.989698,0.002999,0.002879
84,7.577127,0.003516,0.003516,0.003516,0.003516,0.111196,0.259413,0.00126,0.990261,0.003516,0.003951
85,7.159946,0.003736,0.003736,0.003736,0.003736,0.111193,0.257394,0.001279,0.990407,0.003736,0.004449
86,6.752063,0.003787,0.003787,0.003787,0.003787,0.11119,0.254498,0.001262,0.990548,0.003787,0.004634
87,6.370061,0.003847,0.003847,0.003847,0.003847,0.111191,0.259827,0.001266,0.990638,0.003847,0.004836
88,5.991169,0.004976,0.004976,0.004976,0.004976,0.123131,0.301276,0.019743,0.991101,0.004976,0.007146
89,5.620225,0.006647,0.006647,0.006647,0.006647,0.120599,0.354982,0.018702,0.991666,0.006647,0.010487
90,5.24411,0.007489,0.007489,0.007489,0.007489,0.114325,0.357281,0.007905,0.991775,0.007489,0.012229
