true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23
class_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2156093,6,278,1829,1966
class_1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3894,215,3653,128823,81,192296
class_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,937,0,617
class_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1290334,725,977,24041,31803
class_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,77,24151,26,15749
class_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,931,2,80423,1349,2545
class_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1636,12,552,4478,1929
class_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,3,511,0,379
class_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,988093,130,596,2400,4482
class_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1142911,1919,5082,10662,54958
class_10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1999,701,236,9931,123469
class_11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,16,242,15298,5,13358
class_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1367,4,280,4096,1278
class_13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,769755,884,1797,2338,27419
class_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234954,2548,2,2185,1476,56961
class_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1208299,398,518,672,17564
class_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1194054,358,924,1035,17209
class_17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,4,110,14138,3,10102
class_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,19,38,722,0,748
class_19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621576,9,137,1395,245
class_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,19,840,0,879
class_21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,23,205,30476,14,22708
class_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,2,90,9138,587
class_23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,34,447,24053,34,67134
