round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
91,3.10097,0.147632,0.147632,0.147632,0.147632,0.019658,0.133397,0.034147,0.022986,0.147632,0.039775
92,3.111418,0.147631,0.147631,0.147631,0.147631,0.019654,0.133372,0.034139,0.022986,0.147631,0.039774
93,3.110577,0.14763,0.14763,0.14763,0.14763,0.019655,0.133379,0.034142,0.022985,0.14763,0.039774
94,3.093966,0.147631,0.147631,0.147631,0.147631,0.019657,0.133395,0.034145,0.022986,0.147631,0.039775
95,3.080569,0.147631,0.147631,0.147631,0.147631,0.019659,0.133421,0.03415,0.022986,0.147631,0.039775
96,3.071196,0.147632,0.147632,0.147632,0.147632,0.019656,0.133422,0.034146,0.022986,0.147632,0.039776
97,3.052164,0.147632,0.147632,0.147632,0.147632,0.020229,0.133439,0.03415,0.025514,0.147632,0.039776
98,3.047425,0.147632,0.147632,0.147632,0.147632,0.020208,0.133458,0.034154,0.025414,0.147632,0.039776
99,3.04094,0.147632,0.147632,0.147632,0.147632,0.020118,0.133463,0.034154,0.025014,0.147632,0.039776
100,3.038329,0.147631,0.147631,0.147631,0.147631,0.020118,0.133466,0.034154,0.025014,0.147631,0.039776
101,3.036512,0.147631,0.147631,0.147631,0.147631,0.020108,0.133469,0.034155,0.02497,0.147631,0.039776
102,3.031358,0.147631,0.147631,0.147631,0.147631,0.02011,0.133479,0.034157,0.02497,0.147631,0.039776
103,3.026678,0.14763,0.14763,0.14763,0.14763,0.020109,0.133475,0.034156,0.02497,0.14763,0.039776
104,3.022833,0.14763,0.14763,0.14763,0.14763,0.02012,0.133485,0.034158,0.025014,0.14763,0.039776
105,3.020952,0.14763,0.14763,0.14763,0.14763,0.020105,0.133488,0.034158,0.024949,0.14763,0.039776
106,3.021216,0.14763,0.14763,0.14763,0.14763,0.020111,0.133499,0.034161,0.02497,0.14763,0.039776
107,3.017234,0.14763,0.14763,0.14763,0.14763,0.04097,0.1335,0.034161,0.039133,0.14763,0.039776
108,3.01586,0.147629,0.147629,0.147629,0.147629,0.041004,0.133498,0.03416,0.039287,0.147629,0.039776
109,3.012256,0.147629,0.147629,0.147629,0.147629,0.040963,0.133494,0.034159,0.039109,0.147629,0.039776
110,3.009162,0.147628,0.147628,0.147628,0.147628,0.040969,0.133494,0.034159,0.039133,0.147628,0.039776
111,3.006389,0.147626,0.147626,0.147626,0.147626,0.040962,0.133481,0.034157,0.039109,0.147626,0.039775
112,3.004386,0.147625,0.147625,0.147625,0.147625,0.040989,0.133474,0.034156,0.039232,0.147625,0.039775
113,3.001081,0.147624,0.147624,0.147624,0.147624,0.041001,0.133466,0.034156,0.039286,0.147624,0.039775
114,2.999671,0.147624,0.147624,0.147624,0.147624,0.041063,0.133459,0.034155,0.039563,0.147624,0.039774
115,2.997674,0.147623,0.147623,0.147623,0.147623,0.041018,0.133444,0.034152,0.039371,0.147623,0.039774
116,2.995148,0.147623,0.147623,0.147623,0.147623,0.041053,0.133424,0.034149,0.039529,0.147623,0.039774
117,2.993749,0.147623,0.147623,0.147623,0.147623,0.041052,0.133405,0.034147,0.039529,0.147623,0.039774
118,2.992595,0.14763,0.14763,0.14763,0.14763,0.041148,0.133385,0.034174,0.039875,0.14763,0.039776
119,2.990813,0.147635,0.147635,0.147635,0.147635,0.041156,0.13335,0.034186,0.039876,0.147635,0.039777
120,2.987879,0.147641,0.147641,0.147641,0.147641,0.041162,0.133217,0.034189,0.039876,0.147641,0.039778
