true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001896,0.000022,0.000275,0.994915,0.002869,0.000024
class_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001702,0.014940,0.000796,0.005040,0.000410,0.977111
class_2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038536,0.003211,0.000000,0.000642,0.957611
class_3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,0.000010,0.001127,0.998784,0.000019,0.000039
class_4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000200,0.021440,0.000275,0.007871,0.000025,0.970189
class_5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.401546,0.000223,0.006357,0.002967,0.586889,0.002017
class_6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.831204,0.000581,0.006273,0.044726,0.116171,0.001046
class_7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001091,0.085060,0.000000,0.006543,0.000000,0.907306
class_8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,0.000077,0.998396,0.001342,0.000039,0.000129
class_9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000173,0.000011,0.000744,0.998864,0.000122,0.000087
class_10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008144,0.000154,0.000469,0.000755,0.990390,0.000088
class_11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000857,0.016280,0.000720,0.027727,0.000377,0.954039
