true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0,0,0,0,0,0,4095,47,595,2149240,6197,51
class_1,0,0,0,0,0,0,560,4915,262,1658,135,321450
class_2,0,0,0,0,0,0,0,60,5,0,1,1491
class_3,0,0,0,0,0,0,28,14,1519,1346274,26,52
class_4,0,0,0,0,0,0,8,858,11,315,1,38826
class_5,0,0,0,0,0,0,34235,19,542,253,50037,172
class_6,0,0,0,0,0,0,7155,5,54,385,1000,9
class_7,0,0,0,0,0,0,1,78,0,6,0,832
class_8,0,0,0,0,0,0,17,77,994172,1336,39,128
class_9,0,0,0,0,0,0,210,13,904,1214195,148,106
class_10,0,0,0,0,0,0,1111,21,64,103,135114,12
class_11,0,0,0,0,0,0,25,475,21,809,11,27836
