round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
61,4.369857,0.157571,0.157571,0.157571,0.157571,0.131352,0.183802,0.089306,0.178701,0.157571,0.073022
62,4.089424,0.157559,0.157559,0.157559,0.157559,0.080025,0.181384,0.089086,0.064828,0.157559,0.073038
63,6.013627,0.15759,0.15759,0.15759,0.15759,0.080576,0.181092,0.089456,0.064896,0.15759,0.07309
64,8.630532,0.157669,0.157669,0.157669,0.157669,0.080417,0.184396,0.089954,0.065177,0.157669,0.073151
65,11.834237,0.157696,0.157696,0.157696,0.157696,0.080325,0.185212,0.089985,0.065257,0.157696,0.073171
66,13.934877,0.157701,0.157701,0.157701,0.157701,0.080252,0.185451,0.08994,0.065284,0.157701,0.073175
67,15.127533,0.157706,0.157706,0.157706,0.157706,0.080238,0.185494,0.08993,0.065294,0.157706,0.073178
68,16.535077,0.15771,0.15771,0.15771,0.15771,0.080293,0.185712,0.090018,0.065303,0.15771,0.073181
69,17.753409,0.157715,0.157715,0.157715,0.157715,0.080382,0.185869,0.090131,0.06531,0.157715,0.073187
70,18.823728,0.157719,0.157719,0.157719,0.157719,0.080406,0.185927,0.090163,0.065318,0.157719,0.073192
71,19.661281,0.157719,0.157719,0.157719,0.157719,0.080406,0.185943,0.09017,0.065311,0.157719,0.073192
72,20.383951,0.15772,0.15772,0.15772,0.15772,0.080393,0.185993,0.090163,0.065315,0.15772,0.073193
73,20.283119,0.157722,0.157722,0.157722,0.157722,0.080424,0.186013,0.090199,0.065315,0.157722,0.073194
74,21.050645,0.157721,0.157721,0.157721,0.157721,0.080402,0.186006,0.090173,0.065317,0.157721,0.073193
75,21.363191,0.157721,0.157721,0.157721,0.157721,0.080411,0.185999,0.090182,0.065315,0.157721,0.073192
76,22.267909,0.157724,0.157724,0.157724,0.157724,0.080448,0.186002,0.090222,0.065315,0.157724,0.073195
77,22.404533,0.157725,0.157725,0.157725,0.157725,0.080462,0.186058,0.090247,0.065313,0.157725,0.073194
78,22.650448,0.157738,0.157738,0.157738,0.157738,0.080467,0.186106,0.090261,0.065323,0.157738,0.073204
79,22.868117,0.157746,0.157746,0.157746,0.157746,0.080438,0.186129,0.090233,0.065332,0.157746,0.073213
80,23.195988,0.157755,0.157755,0.157755,0.157755,0.08049,0.186121,0.090287,0.065334,0.157755,0.073218
81,23.305853,0.157756,0.157756,0.157756,0.157756,0.080535,0.18609,0.090327,0.065333,0.157756,0.07322
82,23.870253,0.157762,0.157762,0.157762,0.157762,0.080482,0.186155,0.090283,0.065343,0.157762,0.073226
83,24.14328,0.157763,0.157763,0.157763,0.157763,0.080486,0.186139,0.090282,0.065347,0.157763,0.073228
84,24.239011,0.157762,0.157762,0.157762,0.157762,0.080467,0.186157,0.090264,0.065348,0.157762,0.073228
85,24.786683,0.157764,0.157764,0.157764,0.157764,0.080494,0.186156,0.090296,0.065344,0.157764,0.073228
86,24.166659,0.157764,0.157764,0.157764,0.157764,0.080466,0.186165,0.090264,0.06535,0.157764,0.07323
87,24.756247,0.157766,0.157766,0.157766,0.157766,0.080502,0.186182,0.090301,0.065352,0.157766,0.073231
88,24.917569,0.157767,0.157767,0.157767,0.157767,0.080508,0.186178,0.090311,0.065349,0.157767,0.073231
89,25.417698,0.157768,0.157768,0.157768,0.157768,0.080548,0.186184,0.090352,0.065348,0.157768,0.073229
90,25.049954,0.157768,0.157768,0.157768,0.157768,0.080548,0.186193,0.090358,0.065345,0.157768,0.073228
